year,scenario,indicator,value
2044,Optimistic,Fertiliser,112.936
2045,Optimistic,Fertiliser,111.323
2046,Optimistic,Fertiliser,109.740
2047,Optimistic,Fertiliser,108.188
2048,Optimistic,Fertiliser,106.664
2049,Optimistic,Fertiliser,105.169
2050,Optimistic,Fertiliser,103.701
1980,Optimistic,Real Wages,84.791
1981,Optimistic,Real Wages,84.013
1982,Optimistic,Real Wages,83.191
1983,Optimistic,Real Wages,83.574
1984,Optimistic,Real Wages,84.485
1985,Optimistic,Real Wages,84.428
1986,Optimistic,Real Wages,85.491
1987,Optimistic,Real Wages,90.124
1988,Optimistic,Real Wages,87.961
1989,Optimistic,Real Wages,88.512
1990,Optimistic,Real Wages,87.785
1991,Optimistic,Real Wages,88.096
1992,Optimistic,Real Wages,88.435
1993,Optimistic,Real Wages,88.815
1994,Optimistic,Real Wages,89.602
1995,Optimistic,Real Wages,90.617
1996,Optimistic,Real Wages,91.573
1997,Optimistic,Real Wages,92.466
1998,Optimistic,Real Wages,93.176
1999,Optimistic,Real Wages,93.440
2000,Optimistic,Real Wages,94.947
2001,Optimistic,Real Wages,94.931
2002,Optimistic,Real Wages,95.336
2003,Optimistic,Real Wages,94.414
2004,Optimistic,Real Wages,95.619
2005,Optimistic,Real Wages,96.632
2006,Optimistic,Real Wages,97.318
2007,Optimistic,Real Wages,98.078
2008,Optimistic,Real Wages,98.760
2009,Optimistic,Real Wages,98.215
2010,Optimistic,Real Wages,99.758
2011,Optimistic,Real Wages,99.839
2012,Optimistic,Real Wages,100.610
2013,Optimistic,Real Wages,100.437
2014,Optimistic,Real Wages,101.802
2015,Optimistic,Real Wages,103.267
2016,Optimistic,Real Wages,103.850
2017,Optimistic,Real Wages,104.296
2018,Optimistic,Real Wages,105.970
2019,Optimistic,Real Wages,106.541
2020,Optimistic,Real Wages,105.588
2021,Optimistic,Real Wages,108.056
2022,Optimistic,Real Wages,109.951
2023,Optimistic,Real Wages,112.139
2024,Optimistic,Real Wages,111.600
2025,Optimistic,Real Wages,111.220
2026,Optimistic,Real Wages,110.844
2027,Optimistic,Real Wages,110.472
2028,Optimistic,Real Wages,110.104
2029,Optimistic,Real Wages,109.739
2030,Optimistic,Real Wages,109.377
2031,Optimistic,Real Wages,109.019
2032,Optimistic,Real Wages,108.664
2033,Optimistic,Real Wages,108.312
2034,Optimistic,Real Wages,107.964
2035,Optimistic,Real Wages,107.618
2036,Optimistic,Real Wages,107.276
2037,Optimistic,Real Wages,106.936
2038,Optimistic,Real Wages,106.600
2039,Optimistic,Real Wages,106.266
2040,Optimistic,Real Wages,105.935
2041,Optimistic,Real Wages,105.607
2042,Optimistic,Real Wages,105.281
2043,Optimistic,Real Wages,104.958
2044,Optimistic,Real Wages,104.638
2045,Optimistic,Real Wages,104.320
2046,Optimistic,Real Wages,104.005
2047,Optimistic,Real Wages,103.692
2048,Optimistic,Real Wages,103.381
2049,Optimistic,Real Wages,103.073
2050,Optimistic,Real Wages,102.767
