run_id,axis,params,CESI_1980,CESI_2023,max_dd,crit_A,crit_C,rank_corr_vs_base,delta_vs_base_pct
thr_rp15_er5,thresholds,"{'rp_crit': 15, 'eroi_crit': 5}",100.000,611.616,1.522,1,1,1.0000,+0.00
thr_rp15_er6,thresholds,"{'rp_crit': 15, 'eroi_crit': 6}",100.000,611.616,1.522,1,1,1.0000,+0.00
thr_rp15_er7,thresholds,"{'rp_crit': 15, 'eroi_crit': 7}",100.000,611.616,1.522,1,1,1.0000,+0.00
thr_rp15_er8,thresholds,"{'rp_crit': 15, 'eroi_crit': 8}",100.000,611.616,1.522,1,1,1.0000,+0.00
thr_rp15_er9,thresholds,"{'rp_crit': 15, 'eroi_crit': 9}",100.000,611.616,1.522,1,1,1.0000,+0.00
thr_rp18_er5,thresholds,"{'rp_crit': 18, 'eroi_crit': 5}",100.000,611.616,1.522,1,1,1.0000,+0.00
thr_rp18_er6,thresholds,"{'rp_crit': 18, 'eroi_crit': 6}",100.000,611.616,1.522,1,1,1.0000,+0.00
thr_rp18_er7,thresholds,"{'rp_crit': 18, 'eroi_crit': 7}",100.000,611.616,1.522,1,1,1.0000,+0.00
thr_rp18_er8,thresholds,"{'rp_crit': 18, 'eroi_crit': 8}",100.000,611.616,1.522,1,1,1.0000,+0.00
thr_rp18_er9,thresholds,"{'rp_crit': 18, 'eroi_crit': 9}",100.000,611.616,1.522,1,1,1.0000,+0.00
thr_rp20_er5,thresholds,"{'rp_crit': 20, 'eroi_crit': 5}",100.000,611.616,1.522,1,1,1.0000,+0.00
thr_rp20_er6,thresholds,"{'rp_crit': 20, 'eroi_crit': 6}",100.000,611.616,1.522,1,1,1.0000,+0.00
thr_rp20_er7,thresholds,"{'rp_crit': 20, 'eroi_crit': 7}",100.000,611.616,1.522,1,1,1.0000,+0.00
thr_rp20_er8,thresholds,"{'rp_crit': 20, 'eroi_crit': 8}",100.000,611.616,1.522,1,1,1.0000,+0.00
thr_rp20_er9,thresholds,"{'rp_crit': 20, 'eroi_crit': 9}",100.000,611.616,1.522,1,1,1.0000,+0.00
thr_rp22_er5,thresholds,"{'rp_crit': 22, 'eroi_crit': 5}",100.000,611.616,1.522,1,1,1.0000,+0.00
thr_rp22_er6,thresholds,"{'rp_crit': 22, 'eroi_crit': 6}",100.000,611.616,1.522,1,1,1.0000,+0.00
thr_rp22_er7,thresholds,"{'rp_crit': 22, 'eroi_crit': 7}",100.000,611.616,1.522,1,1,1.0000,+0.00
thr_rp22_er8,thresholds,"{'rp_crit': 22, 'eroi_crit': 8}",100.000,611.616,1.522,1,1,1.0000,+0.00
thr_rp22_er9,thresholds,"{'rp_crit': 22, 'eroi_crit': 9}",100.000,611.616,1.522,1,1,1.0000,+0.00
thr_rp25_er5,thresholds,"{'rp_crit': 25, 'eroi_crit': 5}",100.000,611.616,1.522,1,1,1.0000,+0.00
thr_rp25_er6,thresholds,"{'rp_crit': 25, 'eroi_crit': 6}",100.000,611.616,1.522,1,1,1.0000,+0.00
thr_rp25_er7,thresholds,"{'rp_crit': 25, 'eroi_crit': 7}",100.000,611.616,1.522,1,1,1.0000,+0.00
thr_rp25_er8,thresholds,"{'rp_crit': 25, 'eroi_crit': 8}",100.000,611.616,1.522,1,1,1.0000,+0.00
thr_rp25_er9,thresholds,"{'rp_crit': 25, 'eroi_crit': 9}",100.000,611.616,1.522,1,1,1.0000,+0.00
base_1980,base_year,{'base_year': 1980},100.000,611.616,1.522,1,1,1.0000,+0.00
base_1990,base_year,{'base_year': 1990},89.212,539.159,1.411,1,1,1.0000,-11.85
base_2000,base_year,{'base_year': 2000},48.727,292.297,0.788,1,1,1.0000,-52.21
stress_all_against,stress,"{'weights': (0.25, 0.25, 0.25, 0.25), 'haircut': 0.0, 'eroi_points': {1980: 27.500000000000004, 1992: 24.200000000000003, 2000: 19.8, 2006: 17.6, 2010: 16.5, 2015: 13.200000000000001, 2020: 11.0, 2023: 9.9}, 'rp_crit': 15, 'eroi_crit': 5, 'base_year': 1980}",100.000,457.982,6.581,0,0,0.9694,-25.12
stress_all_favor,stress,"{'weights': (0.4, 0.3, 0.2, 0.1), 'haircut': 0.4, 'eroi_points': {1980: 20.0, 1992: 17.6, 2000: 14.4, 2006: 12.8, 2010: 12.0, 2015: 9.600000000000001, 2020: 8.0, 2023: 7.2}, 'rp_crit': 25, 'eroi_crit': 9, 'base_year': 1980}",100.000,795.101,1.522,1,1,1.0000,+30.00
stress_bear_eroi,stress,"{'weights': (0.4, 0.3, 0.2, 0.1), 'haircut': 0.25, 'eroi_points': None, 'rp_crit': 20, 'eroi_crit': 7, 'base_year': 1980, '_eroi_path': {1980: 25.0, 1981: 24.882986111111112, 1982: 24.733585858585858, 1983: 24.554261363636364, 1984: 24.34747474747475, 1985: 24.115688131313128, 1986: 23.861363636363635, 1987: 23.586963383838384, 1988: 23.294949494949496, 1989: 22.987784090909095, 1990: 22.667929292929294, 1991: 22.33784722222222, 1992: 22.0, 1993: 21.610453741423672, 1994: 21.140062178387648, 1995: 20.61346885720412, 1996: 20.05531732418525, 1997: 19.490251125643226, 1998: 18.94291380789022, 1999: 18.437948917238423, 2000: 18.0, 2001: 17.61600279524808, 2002: 17.25506638714186, 2003: 16.91509433962264, 2004: 16.593990216631724, 2005: 16.28965758211041, 2006: 16.0, 2007: 15.749734290225927, 2008: 15.532310308527007, 2009: 15.29873117256458, 2010: 15.0, 2011: 14.542310729613735, 2012: 13.92409957081545, 2013: 13.234733047210302, 2014: 12.563577682403434, 2015: 12.0, 2016: 11.542544360902255, 2017: 11.123633082706766, 2018: 10.733449624060151, 2019: 10.362177443609022, 2020: 10.0, 2021: 9.648858256752995, 2022: 9.316095795043163, 2023: 9.0}}",100.000,611.616,0.844,1,1,0.9952,+0.00
stress_mild_opec,stress,"{'weights': (0.4, 0.3, 0.2, 0.1), 'haircut': 0.1, 'eroi_points': None, 'rp_crit': 20, 'eroi_crit': 7, 'base_year': 1980}",100.000,509.680,1.522,1,1,0.9956,-16.67
stress_severe_opec,stress,"{'weights': (0.4, 0.3, 0.2, 0.1), 'haircut': 0.35, 'eroi_points': None, 'rp_crit': 20, 'eroi_crit': 7, 'base_year': 1980}",100.000,705.711,1.522,1,1,1.0000,+15.38
